OrigProj,Amount,projecttitle,Forum,Sponsor,AwardYear,Color,subforum,Improvement Type,ProjNo
17AUB-01,302750,Traffic Control Interconnect,FHWA Countywide,Auburn,1992,STP(U),King Countywide Forum,Safety & Efficiency,17AUB-01
17BELL-06,561217,City Vehicle Fuel Conversion,FHWA Countywide,Bellevue,1992,CMAQ,King Countywide Forum,"Preservation, Maintenance & Operations",17BELL-06
17BELL-09,500000,CBD Sidewalk Program Stage 1,FHWA Countywide,Bellevue,1992,STP(U),King Countywide Forum,Bicycle/Pedestrian,17BELL-09
17BELL-13,53600,"Crossroads TDM Education Campaign and other segments of citywide ""one less car"" campaign",FHWA Countywide,Bellevue,1992,CMAQ,King Countywide Forum,"Studies, TDM, Other",17BELL-13
17BELL-16,237350,1993 STP Resurfacing program (Lake Hills Connector/116th Ave NE from SE 8th St to NE 8th S,FHWA Countywide,Bellevue,1992,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",17BELL-16
17CAR-01,12651,Tolt River Rd. Landscaping,FHWA Countywide,Carnation,1992,STP(R),King Countywide Forum,Safety & Efficiency,17CAR-01
17CAR-02,14400,Spillman Ave Walkway,FHWA Countywide,Carnation,1992,STP(U),King Countywide Forum,Bicycle/Pedestrian,17CAR-02
17DM-03,23500,Marine View Dr (Kent/Des Moines Rd to Saltwater St Pk),FHWA Countywide,Des Moines,1992,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",17DM-03
17FW-15,575000,23rd Ave S,FHWA Countywide,Federal Way,1992,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,17FW-15
17ISS-02,51708,E Sunset Wy Improvements,FHWA Countywide,Issaquah,1992,STP(U),King Countywide Forum,Safety & Efficiency,17ISS-02
17KENT-01,205642,VMS System Upgrade,FHWA Countywide,Kent,1992,STP(U),King Countywide Forum,Safety & Efficiency,17KENT-01
17KENT-06,72850,76th Ave S (S 220th St to S 228th St),FHWA Countywide,Kent,1992,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",17KENT-06
17KGCO-02B,4747068, Avondale Rd (Redmond C/L to NE 133th St) (Also Funded at KGCO-18),FHWA Countywide,King County Department of Transportation (Road Services),1992,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,17KGCO-02B
17KGCO-42,473800,Arterial Resurfacing--1993,FHWA Countywide,King County Department of Transportation (Road Services),1992,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",17KGCO-42
17KIRK-1A,228048,NE 60th St (116th Ave NE to 132nd Ave NE),FHWA Countywide,Kirkland,1992,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",17KIRK-1A
17MET-10,950000,Bicycle/Transit Travel Improvements,FHWA Countywide,King County Department of Transportation (Transit),1992,CMAQ,King Countywide Forum,Bicycle/Pedestrian,17MET-10
17MET-11,6747078,Purchase of 30 Alternative Fuel Buses,FHWA Countywide,King County Department of Transportation (Transit),1992,CMAQ,King Countywide Forum,"Preservation, Maintenance & Operations",17MET-11
17MET-12,100000,Issaquah Park & Ride Transit Hub,FHWA Countywide,King County Department of Transportation (Transit),1992,STP(U),King Countywide Forum,Transit Capital & Expansion,17MET-12
17MET-7,1000000,1993 Commute Trip Reduction Service Implement. (Various Jurisdictions in Three Counties),FHWA Countywide,King County Department of Transportation (Transit),1992,CMAQ,King Countywide Forum,"Studies, TDM, Other",17MET-7
17MET-8,900000,Transit Signal Priority Demonstration,FHWA Countywide,King County Department of Transportation (Transit),1992,CMAQ,King Countywide Forum,Safety & Efficiency,17MET-8
17MET-9,500000,"Regional Ridematch System (Various Locations, Three Counties).",FHWA Countywide,King County Department of Transportation (Transit),1992,CMAQ,King Countywide Forum,"Studies, TDM, Other",17MET-9
17MI-3A,134017,SE 24th St (76th Ave SE to W Mercer Wy),FHWA Countywide,Mercer Island,1992,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",17MI-3A
17PS-01,538610,"Roadway Improvement Under Alaskan Way Viaduct, joint project with Seattle",FHWA Countywide,Port of Seattle,1992,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",17PS-01
17RED-1,346000,Redmond Way at 160th Ave NE,FHWA Countywide,Redmond,1992,STP(U),King Countywide Forum,Safety & Efficiency,17RED-1
17RED-6,86950,Old Redmond Road Resurfacing (140th to148th Ave NE),FHWA Countywide,Redmond,1992,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",17RED-6
17REN-02,130000,SR-900 HOV and NB Houser interchange,FHWA Countywide,Renton,1992,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,17REN-02
17REN-03,86500,Citywide Arterial Development,FHWA Countywide,Renton,1992,CMAQ,King Countywide Forum,"Preservation, Maintenance & Operations",17REN-03
17REN-04,2398,SW 27th Street / Strander Boulevard Connection (Project Planning),FHWA Countywide,Renton,2002,STP(N),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,17REN-04
17REN-04,94420,SW 27th Street / Strander Boulevard Connection (Project Planning),FHWA Countywide,Renton,2005,STP(N),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,17REN-04
17REN-04,305563,SW 27th Street / Strander Boulevard Connection (Project Planning),FHWA Countywide,Renton,1999,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,17REN-04
17REN-04,344000,SW 27th Street / Strander Boulevard Connection (Project Planning),FHWA Countywide,Renton,1992,CMAQ,King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,17REN-04
17REN-04,440000,SW 27th Street / Strander Boulevard Connection (Project Planning),FHWA RPEC,Renton,1999,STP(U),RPEC,General Purpose & High Occupancy Vehicle Capacity,17REN-04
17REN-04,745563,SW 27th Street / Strander Boulevard Connection (Project Planning),FHWA Countywide,Renton,2003,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,17REN-04
17REN-04,4600000,SW 27th Street / Strander Boulevard Connection (Project Planning),FHWA RPEC,Renton,2006,STP(U),RPEC,General Purpose & High Occupancy Vehicle Capacity,17REN-04
17REN-06,116800,Lake Washington Blvd Bike and Pedestrian,FHWA Countywide,Renton,1992,CMAQ,King Countywide Forum,Bicycle/Pedestrian,17REN-06
17REN-12,129250,Airport Wy/Rainier Ave S (Logan Ave S to S 229th Pl.),FHWA Countywide,Renton,1992,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",17REN-12
17SEA-01,898109,Arterial Maintenance Citywide-1993,FHWA Countywide,Seattle,1992,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",17SEA-01
17SEA-06,656000,Bike Spots Citywide,FHWA Countywide,Seattle,1992,CMAQ,King Countywide Forum,Bicycle/Pedestrian,17SEA-06
17SEA-11,160000,Commuter Services Program,FHWA Countywide,Seattle,1992,CMAQ,King Countywide Forum,"Studies, TDM, Other",17SEA-11
